,Year,Month,Store Number,Bottle Volume (ml),Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons),City,State Bottle Cost,State Bottle Retail,2010_pop,2015_pop_est,2016_pop_est,Monthly Stores in City,Pop per Store
0,2015,1,2106,354975.0,7580.0,109795.48000000005,7116.85,1880.390000000007,CEDAR FALLS,10.910820512820509,16.373538461538473,39260.0,41345.0,41390.0,17,2432.0588235294117
1,2015,1,2113,116750.0,571.0,7685.8600000000015,566.74,149.68000000000012,GOWRIE,10.519421487603305,15.791818181818186,1037.0,989.0,981.0,2,494.5
2,2015,1,2130,279925.0,4831.0,71307.51,4338.049999999999,1146.0899999999997,WATERLOO,10.685785953177252,16.030668896321064,68406.0,68414.0,67934.0,46,1487.2608695652175
3,2015,1,2152,123500.0,477.0,5746.2699999999995,484.86,128.07000000000005,ROCKWELL,8.849406779661015,13.29067796610169,1039.0,1011.0,1012.0,2,505.5
4,2015,1,2178,183425.0,1500.0,17970.359999999997,1454.7000000000003,384.28999999999957,WAUKON,9.507183908045974,14.292988505747127,3897.0,3743.0,3733.0,3,1247.6666666666667
5,2015,1,2190,757225.0,6884.0,81494.57999999991,4418.330000000001,1167.7500000000005,DES MOINES,10.94304207119739,16.429072276159623,203433.0,214814.0,215472.0,90,2386.822222222222
6,2015,1,2191,409525.0,4993.0,73743.08999999998,5160.38,1363.310000000001,KEOKUK,11.451857142857133,17.184761904761917,10780.0,10583.0,10431.0,7,1511.857142857143
7,2015,1,2200,219050.0,974.0,13045.109999999997,994.4200000000001,262.68999999999977,SAC CITY,10.659389671361506,15.994647887323948,2220.0,2133.0,2105.0,2,1066.5
8,2015,1,2205,223175.0,1554.0,20618.549999999996,1323.5100000000002,349.5599999999994,CLARINDA,10.051141732283467,15.082755905511812,5572.0,5420.0,5385.0,4,1355.0
9,2015,1,2228,220000.0,1231.0,14779.549999999988,1276.91,337.41999999999956,WINTERSET,9.37724770642202,14.100000000000007,5190.0,5163.0,5271.0,5,1032.6
10,2015,1,2233,203800.0,1566.0,22175.389999999992,1704.9,450.3599999999991,SPIRIT LAKE,11.69260869565218,17.545054347826095,4840.0,5035.0,5086.0,6,839.1666666666666
11,2015,1,2238,26000.0,102.0,1959.8400000000004,88.0,23.279999999999998,ALTOONA,13.111724137931036,19.66965517241379,14541.0,17474.0,17938.0,9,1941.5555555555557
12,2015,1,2248,255850.0,2055.0,33331.049999999996,1607.4099999999996,424.579999999999,DES MOINES,12.698711864406771,19.05813559322033,203433.0,214814.0,215472.0,90,2386.822222222222
13,2015,1,2285,196625.0,2753.0,47387.869999999944,2183.2200000000003,576.9599999999992,IOWA CITY,12.935570175438594,19.41013157894737,67862.0,73397.0,74398.0,26,2822.9615384615386
14,2015,1,2290,451825.0,2420.0,33428.89999999999,2359.07,623.0099999999978,STORM LAKE,10.42665236051501,15.649077253218886,10600.0,10751.0,10773.0,10,1075.1
15,2015,1,2327,91575.0,490.0,4962.480000000001,391.58,103.30000000000005,CORNING,8.297452830188684,12.457169811320755,1635.0,1513.0,1486.0,2,756.5
